电影名,年份,地区,剧情类型,导演,主演,评分,评论人数,简介
朗读者,2008 , 美国 德国 , 剧情 爱情, 史蒂芬·戴德利 Stephen Daldry   ,凯特·温丝莱特 Kate Winslet ...,8.5,332437人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。
可可西里,2004 , 中国大陆 香港 , 剧情 犯罪, 陆川 Chuan Lu   ,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,8.7,170306人评价,坚硬的信仰。
浪潮,2008 , 德国 , 剧情 惊悚, 丹尼斯·甘塞尔 Dennis Gansel   ,尤尔根·沃格尔 Jürgen Vogel ...,8.7,172580人评价,世界离独裁只有五天。
谍影重重2,2004 , 美国 德国 , 动作 悬疑 惊悚, 保罗·格林格拉斯 Paul Greengrass   ,马特·达蒙 Matt Damon / ...,8.6,217807人评价,谁说王家卫镜头很晃？
谍影重重,2002 , 美国 德国 捷克 , 动作 悬疑 惊悚, 道格·里曼 Doug Liman   ,马特·达蒙 Matt Damon / 弗兰卡·波坦...,8.6,259598人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
牯岭街少年杀人事件,1991 , 台湾 , 剧情 犯罪, 杨德昌 Edward Yang   ,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,8.8,148372人评价,弱者送给弱者的一刀。
战争之王,2005 , 美国 法国 , 剧情 犯罪, 安德鲁·尼科尔 Andrew Niccol   ,尼古拉斯·凯奇 Nicolas Cage /...,8.6,223778人评价,做一颗让别人需要你的棋子。
地球上的星星,2007 , 印度 , 剧情 儿童 家庭, 阿米尔·汗 Aamir Khan   ,达席尔·萨法瑞 Darsheel Safary / 阿...,8.9,119867人评价,天使保护事件始末。
疯狂的石头,2006 , 中国大陆 香港 , 喜剧 犯罪, 宁浩 Hao Ning   ,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,8.4,448690人评价,中国版《两杆大烟枪》。
功夫,2004 , 中国大陆 香港 , 动作 喜剧 犯罪 奇幻, 周星驰 Stephen Chow   ,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,8.4,459477人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
惊魂记,1960 , 美国 , 悬疑 惊悚 恐怖, Alfred Hitchcock   ,Janet Leigh / Anthony Perkins / Vera Miles,8.9,119471人评价,故事的反转与反转，分裂电影的始祖。
初恋这件小事,2010 , 泰国 , 剧情 喜剧 爱情, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn ,无介绍...,8.3,629479人评价,黑小鸭速效美白记。
青蛇,1993 , 香港 , 剧情 爱情 奇幻 古装, 徐克 Hark Tsui   ,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,8.5,302069人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
头号玩家,2018 , 美国 , 动作 科幻 冒险, 史蒂文·斯皮尔伯格 Steven Spielberg   ,泰伊·谢里丹 Tye Sheri...,8.7,816842人评价,写给影迷，动漫迷和游戏迷的一封情书。
终结者2：审判日,1991 , 美国 法国 , 动作 科幻, 詹姆斯·卡梅隆 James Cameron   ,阿诺·施瓦辛格 Arnold Schwarz...,8.6,197366人评价,少见的超越首部的续集，动作片中的经典。
源代码,2011 , 美国 加拿大 , 科幻 悬疑 惊悚, 邓肯·琼斯 Duncan Jones   ,杰克·吉伦哈尔 Jake Gyllenhaal / ...,8.4,518584人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
步履不停,2008 , 日本 , 剧情 家庭, 是枝裕和 Hirokazu Koreeda   ,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,8.8,138242人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
爱在午夜降临前,2013 , 美国 希腊 , 剧情 爱情, 理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,8.8,165828人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
新龙门客栈,1992 , 香港 中国大陆 , 动作 爱情 武侠 古装, 李惠民 Raymond Lee   ,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,8.5,256327人评价,嬉笑怒骂，调风动月。
小萝莉的猴神大叔,2015 , 印度 , 剧情 喜剧 动作, 卡比尔·汗 Kabir Khan   ,萨尔曼·汗 Salman Khan / 哈莎莉·马...,8.5,268506人评价,宝莱坞的萝莉与大叔。
